Latitude,Longitude
44.07663856,-71.73929664
41.67287309,-116.7424182
42.97328647,-104.0911621
43.37254064,-76.63020571
35.42489787,-112.9703914
30.46522244,-99.36607654
43.71047693,-75.00874563
36.88889514,-118.8160063
45.23681032,-94.50785185
40.28287649,-96.28498046
45.39436734,-88.33841493
35.83416929,-102.387186
47.32612714,-96.22327208
46.10853899,-92.95298312
44.98839913,-121.5345521
39.58548658,-119.1656979
46.94174457,-107.2022183
40.63850505,-99.8797425
42.43013126,-123.9751451
40.76735204,-99.57392661
46.19473868,-122.8036348
30.61779612,-104.6330441
32.95610355,-101.4037001
35.51607353,-82.71278701
47.93520904,-107.4930751
43.71245098,-74.97765011
38.28413115,-97.52664626
34.20356505,-110.6653419
43.69734977,-123.2640178
40.07215227,-103.9443946
33.46093291,-89.08113049
32.95968026,-116.1586742
42.7795718,-83.94592021
30.49687458,-91.84538932
39.10229953,-97.90673452
42.18641857,-78.4983046
45.51671997,-93.04113022
32.03009336,-104.936485
38.81685765,-104.8420681
34.25683249,-105.8614689
35.83583811,-107.2421205
35.61305888,-79.23799844
33.76179329,-90.2743496
44.30776647,-69.3231765
48.03972338,-108.2184301
45.19695872,-101.0849871
41.56415749,-100.2755541
36.12764016,-105.5050594
40.01921202,-100.9931288
41.46353239,-92.69882307
34.63416479,-115.4325396
43.27042476,-115.0910738
33.8269836,-99.69943738
39.89095829,-75.65242712
34.60805954,-103.9534341
36.04880108,-90.58362798
34.11119432,-109.3366832
42.09691086,-122.3747902
27.1577018,-81.2935259
44.56718799,-69.92887335
39.82167349,-91.65398328
48.87565083,-117.9058768
33.29891451,-83.95142125
38.21061979,-83.65807191
48.76763829,-119.0050579
39.13414668,-105.554369
44.3327175,-93.12840323
42.46352724,-114.0061438
47.54981627,-122.2169605
44.42846079,-72.24246925
44.59504681,-109.2343359
40.35626054,-76.33921169
35.8873369,-114.335244
41.5282139,-107.6371433
31.22571201,-97.25631946
39.59700011,-103.7722709
30.31211017,-85.63407299
34.51573136,-88.98988608
36.45367211,-95.91259474
43.52411053,-110.9505981
37.03815414,-93.2334447
46.15492639,-111.2201494
25.76921465,-81.00843905
36.61950219,-83.44535411
37.72627181,-112.6105435
41.20197767,-116.126574
45.76640053,-91.28142283
33.79362146,-96.15038259
34.39292036,-95.48062095
48.02963609,-109.4365287
43.99072919,-101.3380279
43.47113057,-72.23449919
42.35487159,-83.99493278
38.63631082,-92.10184046
27.68349656,-81.52530406
41.14070485,-82.80957873
45.23093933,-87.86186695
43.37821774,-91.62556657
35.23691061,-80.96677951
46.03650325,-89.20611689
